nodes,g1h3,g1f3,b1c3,b1a3,h2h3,g2g3,f2f3,e2e3,d2d3,c2c3,b2b3,a2a3,h2h4,g2g4,f2f4,e2e4,d2d4,c2c4,b2b4,a2a4
241,-22,-4,-8,-26,-9,-4,-31,-4,-13,-4,-26,-5,-21,-48,-17,13,4,0,-43,-8
714,-18,19,6,-17,5,8,-35,13,1,16,-5,13,0,-21,-2,13,29,26,-43,4
1594,-30,14,13,-25,0,0,-52,9,-5,13,6,0,-13,-64,-4,32,29,17,-30,0
3099,-39,14,8,-43,-18,9,-43,16,-21,16,-4,0,-30,-65,-10,32,29,35,-52,-21
12072,-39,12,0,-39,-23,0,-61,8,-5,-20,-13,13,-30,-66,-17,52,21,7,-52,-25
30891,-73,22,7,-58,-26,0,-69,10,-17,0,-2,0,-25,-172,-18,33,12,8,-42,-34
48124,-64,12,6,-52,-26,0,-65,12,-8,-5,-6,4,-39,-173,-12,36,13,16,-43,-26
84133,-65,13,2,-66,-22,-4,-66,5,-7,-4,-6,0,-38,-129,-16,38,13,12,-30,-28
130111,-69,14,2,-79,-15,-5,-66,10,-7,-5,-4,-1,-35,-172,-16,35,14,0,-22,-36
217708,-62,15,2,-75,-14,0,-73,8,-2,-9,-13,-13,-39,-125,-19,33,15,-4,-15,-27
333793,-56,12,-1,-69,-16,2,-65,8,-4,-4,-22,-4,-34,-120,-15,32,16,4,-27,-29
513047,-55,13,2,-67,-22,3,-73,14,-10,0,-26,0,-34,-121,-19,31,15,11,-26,-35
715751,-48,19,2,-69,-21,10,-75,14,-8,2,-23,0,-26,-127,-17,38,18,16,-25,-30
1077779,-55,18,5,-74,-14,16,-80,18,-5,11,-14,2,-29,-126,-13,31,22,18,-25,-21
1676089,-65,19,2,-69,-19,16,-69,14,-11,11,-16,-6,-32,-120,-23,31,28,20,-23,-21
2314313,-49,18,0,-72,-14,15,-72,16,-10,13,-17,1,-34,-127,-21,28,23,14,-24,-17
3258476,-48,20,1,-68,-13,13,-67,17,-9,12,-15,2,-33,-120,-23,28,26,15,-24,-14
4510748,-46,28,-1,-67,-11,13,-76,16,-13,15,-11,2,-44,-120,-23,23,30,18,-24,-13
6267909,-48,25,-5,-52,-12,10,-74,19,-9,12,-10,1,-35,-125,-21,32,25,16,-24,-8
